customer_id,tenure,num_transactions_last_month,avg_transaction_value,last_login_days_ago,late_payments,support_tickets_opened,churn
238,32,3,854.55,11,2,1,0
239,14,2,725.22,13,2,2,0
240,8,5,1243.51,2,1,1,0
241,57,3,1084.89,18,2,0,0
242,25,4,1314.88,12,1,4,1
243,16,3,1207.9,7,1,0,0
244,42,5,1446.24,2,0,0,0
245,19,7,1166.89,22,3,1,1
246,41,5,1447.7,21,1,1,0
247,55,4,1718.04,4,3,0,1
248,16,7,1423.26,22,0,2,0
249,12,5,1452.84,18,1,2,1
250,39,9,981.42,18,2,0,1
251,48,5,1110.18,24,0,1,0
252,30,5,1629.22,18,1,0,0
253,58,5,572.81,5,0,0,0
254,2,6,1233.59,19,1,2,0
255,32,7,1333.76,26,0,0,0
256,55,6,1027.12,1,2,1,0
257,45,5,1264.16,20,1,0,0
258,25,5,1080.33,29,3,1,1
259,25,8,1259.43,8,2,2,0
260,4,5,1343.22,14,2,0,0
261,19,9,1048.52,24,2,3,1
262,48,5,1215.0,23,0,0,0
263,4,6,1340.32,9,1,1,0
264,43,5,1372.08,5,2,1,0
265,13,3,1290.4,17,2,1,0
266,39,13,1233.42,6,1,2,0
267,36,4,933.43,23,0,0,0
268,23,4,1880.84,8,1,2,0
269,6,5,831.93,20,2,1,0
270,24,3,1353.46,18,2,0,1
271,44,6,866.52,5,0,3,0
272,33,7,1051.69,6,0,0,0
273,12,4,1174.2,18,1,0,1
274,41,3,1126.67,18,1,1,0
275,21,8,674.46,26,0,1,0
276,11,3,1957.98,4,0,1,0
277,55,6,1355.46,1,1,1,0
278,44,4,1239.32,5,1,0,0
279,38,6,1373.62,19,0,1,0
280,29,7,1911.06,2,3,3,1
281,48,5,1013.01,8,0,6,0
282,41,6,766.55,5,2,1,0
283,3,5,1107.06,22,1,1,0
284,28,2,1334.44,27,1,0,1
285,20,5,1401.31,23,2,2,1
286,26,4,998.91,15,1,1,0
287,24,3,1582.05,10,1,1,0
288,54,6,1010.37,8,2,2,0
289,52,3,1235.29,17,1,1,0
290,47,3,1058.29,27,0,0,1
291,21,2,863.55,8,0,0,0
292,54,2,960.25,20,2,0,1
293,30,3,1756.13,3,2,1,0
294,4,3,981.65,24,2,0,1
295,36,2,1127.2,14,2,0,0
296,40,3,1528.23,3,0,2,0
297,10,4,1051.34,21,0,0,0
298,10,3,1563.63,18,0,1,0
299,42,3,1413.91,7,1,0,0
300,24,6,1597.96,14,1,3,1
301,4,7,1049.39,2,2,1,0
302,47,8,1283.12,16,1,1,0
303,27,2,1154.65,21,1,1,1
304,51,7,1135.69,14,1,0,0
305,45,9,1586.32,9,1,0,0
306,4,8,1342.59,22,2,2,0
307,32,7,1080.31,9,2,0,0
308,10,7,1138.79,13,2,0,0
309,11,1,1225.52,17,3,2,1
310,28,4,1022.1,14,1,0,0
311,46,2,1394.6,15,0,2,0
312,8,6,1261.67,26,0,3,1
313,40,6,1117.68,14,0,1,0
314,22,3,1113.3,26,3,1,0
315,34,3,1695.12,23,0,0,1
316,45,9,773.19,28,1,4,1
317,35,4,1472.47,28,2,3,1
318,35,6,1331.29,5,0,4,0
319,25,4,1073.33,11,0,1,0
320,34,6,1191.79,14,1,2,0
321,6,4,1084.99,4,3,0,1
322,41,6,624.46,27,2,0,0
323,37,9,1521.17,23,1,1,0
324,1,1,1154.08,25,1,0,0
325,12,6,1012.48,22,0,1,0
326,35,5,578.11,17,2,1,0
327,6,3,821.44,1,1,2,0
328,54,3,1374.72,18,0,0,1
329,17,9,1201.52,18,2,1,0
330,9,6,1829.24,13,1,0,0
331,2,5,651.75,5,0,0,0
332,18,5,759.92,14,1,6,1
333,49,4,997.93,9,1,2,0
334,36,2,1507.67,20,1,0,0
335,57,4,1097.45,5,0,3,1
336,28,6,886.03,10,1,3,0
337,41,5,1339.44,26,2,0,0
338,53,3,676.92,1,0,0,0
339,37,6,1362.91,5,3,0,0
340,49,2,1691.5,28,0,0,0
341,26,4,1094.9,22,1,2,0
342,4,4,1267.8,7,0,1,0
343,40,4,1343.51,17,1,1,0
344,36,5,1310.3,21,0,0,1
345,51,6,488.57,17,0,1,0
346,31,3,947.49,15,1,1,0
347,30,8,926.41,4,0,0,0
348,50,2,683.41,6,4,2,1
349,34,8,1207.86,5,0,0,0
350,19,2,829.63,9,0,2,0
351,18,2,1560.05,23,1,2,1
352,30,7,1158.19,27,0,1,1
353,21,5,1152.95,6,1,1,0
354,3,3,1257.24,13,1,1,0
355,6,3,1053.14,5,3,1,0
356,38,2,814.98,20,0,1,0
357,13,5,1316.05,28,0,1,1
358,45,1,1543.74,4,1,1,0
359,54,1,1283.65,16,1,0,0
360,3,2,855.08,19,3,0,1
361,48,5,1502.65,21,0,0,1
362,28,7,1023.47,14,0,0,0
363,22,7,1754.42,17,2,1,0
364,40,6,1345.94,7,3,2,0
365,40,4,948.32,24,1,0,0
366,12,3,888.68,19,2,1,1
367,23,2,1436.17,16,2,1,0
368,31,6,1145.73,5,0,0,0
369,18,4,1922.18,8,0,0,0
370,7,5,1058.72,18,3,0,1
371,8,7,1484.64,28,0,0,0
372,19,4,1650.91,26,1,0,1
373,29,7,1010.22,1,0,1,0
374,44,6,1791.32,27,1,0,1
375,20,8,1662.95,1,2,0,0
376,50,9,679.22,24,1,0,0
377,42,5,1179.27,25,1,1,0
378,30,6,1028.31,21,3,0,0
379,47,4,960.54,4,1,0,0
380,22,7,1072.42,29,0,1,0
381,10,3,1285.13,3,1,0,0
382,26,4,1725.28,12,0,0,0
383,51,7,1360.05,26,1,2,0
384,33,4,1234.28,16,1,1,0
385,28,3,1497.62,9,0,1,0
386,10,4,1038.37,23,0,1,0
387,29,5,1793.23,17,0,1,0
388,44,4,1358.77,25,1,0,1
389,18,6,1147.68,7,2,1,0
390,42,1,1405.54,29,0,1,0
391,59,1,871.42,19,2,1,0
392,1,6,1015.53,5,1,0,0
393,23,9,1749.15,6,1,1,0
394,17,3,642.4,6,1,1,0
395,43,3,1409.34,27,2,2,0
396,37,4,1249.26,21,0,0,0
397,31,4,1685.91,7,0,0,0
398,25,3,651.87,4,1,2,0
399,53,6,979.49,7,1,0,0
400,4,7,990.04,14,1,1,0
401,52,3,1566.64,22,2,1,0
402,9,3,1500.88,26,0,2,0
403,57,7,1428.94,8,1,1,0
404,28,3,1609.45,16,1,0,1
405,30,4,607.26,8,1,0,0
406,47,2,1245.13,9,0,0,0
407,24,10,928.73,16,1,2,0
408,33,5,1006.91,6,1,1,0
409,20,4,847.49,26,1,0,0
410,9,6,1216.76,20,1,0,0
411,8,8,380.43,11,0,0,0
412,24,4,1002.27,5,0,0,0
413,14,9,1203.36,6,2,2,0
414,59,1,958.3,18,0,2,0
415,18,8,1273.3,9,1,0,0
416,57,3,1023.87,13,1,1,0
417,53,2,1559.04,13,1,4,0
418,56,3,1173.56,1,2,3,1
419,1,4,946.52,3,1,0,0
420,12,5,794.54,23,3,0,1
421,29,5,445.27,11,0,1,0
422,37,3,1398.51,17,1,2,1
423,26,2,880.7,27,1,1,0
424,33,4,1205.76,28,1,1,0
425,43,3,770.86,1,2,3,0
426,15,4,434.84,15,1,1,0
427,23,3,864.35,27,2,1,1
428,29,5,1651.03,16,0,1,0
429,21,4,555.22,23,0,1,0
430,19,6,1062.89,25,3,3,1
431,5,3,1310.91,11,0,0,0
432,23,5,1077.28,29,2,0,1
433,36,3,1379.17,28,1,2,1
434,59,4,1349.07,11,0,0,0
435,20,5,1032.01,7,2,1,0
436,8,6,789.4,15,1,1,0
437,9,5,1138.15,12,2,1,0
438,14,9,1159.8,6,1,2,0
439,6,7,925.3,8,1,0,0
440,1,6,947.0,18,1,1,0
441,9,2,934.55,16,2,3,1
442,16,5,951.37,4,0,0,0
443,16,9,1047.48,19,1,0,0
444,54,8,1629.98,10,2,1,0
445,12,9,517.17,11,2,1,0
446,5,4,1577.62,11,0,2,0
447,40,9,1712.84,25,1,0,1
448,29,6,888.39,10,0,3,0
449,46,4,1417.25,7,4,1,1
450,27,7,1225.55,2,0,1,0
451,11,7,1006.37,9,0,0,0
452,53,7,1001.48,5,2,0,0
453,47,3,1329.94,16,0,1,0
454,50,6,1438.79,13,1,1,0
455,28,3,1521.17,4,1,1,0
456,52,4,1834.2,9,1,0,0
457,36,4,751.66,10,0,0,0
458,42,4,1343.7,5,1,1,0
459,19,9,992.67,18,2,2,1
460,54,4,1011.17,20,1,1,0
461,35,0,1886.63,8,0,2,0
462,52,3,1439.1,9,0,4,0
463,31,5,842.11,3,0,0,0
464,54,4,1322.73,24,0,2,0
465,59,6,1246.0,6,2,1,0
466,44,3,901.45,6,0,1,0
467,56,7,1058.33,23,1,0,1
468,19,5,1348.94,20,1,0,1
469,46,6,1097.82,3,0,2,0
470,24,4,1672.36,24,1,1,0
471,2,3,1150.11,26,0,1,0
472,7,8,905.35,12,2,0,0
473,43,6,930.63,2,1,1,0
474,54,4,1370.73,21,0,1,0
475,49,6,1295.76,20,1,2,0
476,31,3,903.58,17,1,1,1
477,17,5,987.07,24,2,2,0
478,27,7,1585.77,16,3,1,1
479,36,4,1385.14,20,2,0,0
480,59,8,1336.29,16,0,0,0
481,50,6,1504.04,5,3,2,0
482,43,3,1075.95,13,0,2,0
483,10,4,1059.95,24,1,2,0
484,45,6,1864.55,16,3,1,1
485,14,8,1352.48,22,1,2,0
486,58,10,1097.91,13,1,3,0
487,7,5,1702.76,18,3,1,0
488,39,10,1144.16,5,0,0,0
489,40,3,1423.88,18,1,1,0
490,9,6,1700.49,29,3,0,1
491,14,4,1157.19,28,0,0,0
492,57,6,1328.52,20,2,0,0
493,8,2,1151.05,28,2,0,0
494,17,5,700.8,14,0,0,0
495,57,6,1448.01,15,1,1,0
496,23,6,1095.01,27,1,0,0
497,57,9,1129.56,24,0,3,0
498,16,5,1107.67,17,1,0,0
499,26,4,1354.45,21,0,1,0
500,9,7,724.72,7,0,1,0
501,36,3,798.72,3,1,2,0
502,7,2,1226.46,27,3,0,0
503,18,8,608.66,8,1,4,0
504,8,3,1088.04,15,0,1,0
505,21,10,1310.34,20,2,1,0
506,26,5,1241.45,11,1,3,0
507,3,5,871.11,6,0,1,0
508,17,4,954.86,25,1,0,1
509,57,6,1570.68,5,1,2,0
510,51,3,1331.98,12,1,2,0
511,46,5,896.09,19,2,1,0
512,24,4,1382.91,2,2,1,0
513,25,2,1606.4,12,1,0,0
514,5,5,1177.1,9,2,1,0
515,37,0,1152.75,5,0,1,0
516,45,2,1378.27,5,2,0,0
517,50,7,1553.01,25,2,1,0
518,24,1,1606.51,10,0,2,0
519,31,4,1231.09,5,0,1,0
520,55,4,1061.5,11,1,0,0
521,26,5,1445.95,24,1,1,0
522,21,4,871.24,5,0,1,0
523,34,8,1251.62,8,1,1,0
524,38,7,1077.9,15,0,0,0
525,58,6,969.55,1,1,1,0
526,24,1,1110.38,7,0,2,0
527,28,2,1585.25,5,1,0,0
528,30,8,1449.29,16,0,0,1
529,34,3,1368.73,24,2,3,1
530,52,6,1067.39,2,1,1,0
531,54,7,1501.83,11,0,2,0
532,56,6,1026.32,22,0,0,0
533,52,6,1681.93,21,0,1,0
534,23,2,1587.03,19,0,2,1
535,55,6,1737.66,3,1,1,0
536,8,4,1304.22,17,0,2,0
537,42,3,969.26,3,3,1,0
538,50,2,792.92,6,2,2,0
539,10,5,1699.95,15,1,0,0
540,55,0,1453.68,14,2,0,0
541,1,4,1146.93,6,1,2,0
542,20,5,548.47,22,1,0,0
543,57,4,1914.7,2,1,1,0
544,37,8,967.41,4,1,0,0
545,18,6,856.39,26,2,0,0
546,21,3,912.65,2,1,0,0
547,54,4,1447.78,2,1,2,0
548,49,4,1115.37,17,1,0,0
549,4,2,1024.36,23,1,2,1
550,43,2,2067.88,10,2,1,0
551,2,7,867.1,2,2,2,0
552,21,5,1221.16,26,0,1,1
553,37,3,1664.66,23,1,0,1
554,5,7,1503.35,20,0,2,0
555,17,7,1385.49,16,0,0,1
556,49,7,1596.9,8,3,0,0
557,48,3,856.26,23,2,0,0
558,11,6,1501.03,20,1,1,0
559,46,3,1186.0,10,1,0,0
560,41,6,845.67,22,1,1,1
561,31,1,1274.97,21,0,1,0
562,28,4,1556.79,20,2,2,0
563,44,3,445.01,14,0,0,0
564,32,10,844.73,6,2,2,0
565,21,3,1389.46,2,0,2,0
566,7,4,1571.53,21,1,0,1
567,10,4,1263.18,18,0,0,0
568,28,4,1317.15,14,2,2,0
569,48,1,1426.42,24,1,2,1
570,36,11,1262.36,29,1,1,0
571,20,4,1201.58,4,1,2,0
572,13,6,1195.27,16,0,1,1
573,19,7,1170.6,4,2,0,0
574,50,5,1112.67,2,0,1,0
575,11,3,1364.12,3,0,1,0
576,35,7,1101.14,3,1,0,0
577,34,1,1329.13,28,2,0,0
578,44,4,994.33,14,0,1,0
579,4,8,1112.39,29,0,1,0
580,13,6,1318.03,14,0,1,0
581,37,2,1251.26,5,1,1,0
582,59,6,840.51,21,0,1,1
583,2,4,1242.43,9,2,1,0
584,50,5,489.71,27,0,2,1
585,1,5,1351.87,16,2,1,0
586,40,4,1365.95,12,1,1,0
587,25,5,937.3,2,0,1,0
588,59,2,1315.92,14,1,3,1
589,37,8,1173.03,28,0,0,1
590,36,2,1124.22,12,2,0,0
591,6,7,1147.44,18,1,0,1
592,7,8,947.24,20,3,1,0
593,4,4,1469.8,9,0,1,0
594,35,2,996.11,9,0,2,0
595,58,3,1041.14,8,0,0,0
596,41,6,564.97,4,2,0,0
597,34,4,1421.82,15,0,1,0
598,29,4,1457.11,6,2,0,0
599,5,6,1044.24,11,2,1,0
600,27,4,1421.29,17,1,3,0
601,33,6,1214.16,28,1,0,1
602,57,3,1146.14,14,1,1,0
603,46,5,1313.02,26,1,3,1
604,52,3,1772.6,15,0,1,0
605,10,4,1072.09,13,2,0,0
606,54,5,989.61,29,0,0,0
607,6,2,1105.67,21,4,0,0
608,34,4,961.96,11,2,2,0
609,8,7,1188.22,7,2,0,0
610,31,8,791.54,4,0,1,0
611,9,7,899.25,3,1,0,0
612,55,6,1073.03,13,1,0,0
613,21,7,1453.0,21,2,0,1
614,8,3,1105.94,21,2,1,0
615,4,11,1002.59,28,2,1,0
616,22,3,757.05,22,1,2,0
617,28,3,1341.98,26,1,0,0
618,45,8,1043.39,22,0,1,0
619,4,9,1321.37,9,0,1,0
620,39,3,1186.99,27,1,0,0
621,21,6,1257.03,16,0,0,0
622,8,5,1391.23,12,0,3,1
623,20,7,1530.73,3,1,2,0
624,32,3,997.6,29,1,2,0
625,1,6,1196.4,11,3,0,0
626,6,5,1159.75,13,0,1,0
627,28,7,1107.24,14,0,0,0
628,44,6,1358.2,19,1,0,0
629,31,1,1648.59,13,1,2,0
630,10,5,1072.02,5,1,1,0
631,20,7,1256.97,24,2,1,0
632,8,5,48.33,24,2,0,1
633,22,5,599.34,19,0,0,1
634,38,4,1482.96,1,0,1,0
635,29,5,991.43,2,2,2,0
636,9,5,1103.43,27,0,1,0
637,44,9,884.4,8,1,0,0
638,47,8,1384.67,25,3,1,1
639,1,5,1256.89,13,1,0,0
640,41,3,1173.13,23,0,3,1
641,52,4,1544.75,8,2,0,0
642,39,5,1271.64,5,1,1,0
643,26,8,1825.01,15,0,0,0
644,11,6,953.04,13,0,0,0
645,52,8,1547.56,12,2,1,0
646,35,3,1054.72,18,1,0,0
647,24,4,1308.19,11,2,0,0
648,33,2,1312.81,23,1,0,0
649,20,6,1813.24,17,0,2,0
650,27,5,1284.32,22,1,1,0
651,15,5,1191.24,28,0,1,0
652,33,5,564.68,4,1,1,0
653,52,2,1499.33,13,1,1,0
654,7,7,726.77,6,2,2,0
655,34,9,668.28,9,1,0,0
656,45,3,842.41,1,1,2,0
657,58,6,1195.38,27,1,1,0
658,51,3,1045.51,5,1,1,0
659,46,5,996.83,27,1,1,0
660,42,5,965.71,4,1,1,0
661,5,6,1099.46,17,1,0,0
662,58,3,973.49,28,0,0,0
663,30,5,1565.87,25,0,1,1
664,28,6,1042.61,4,2,0,0
665,18,4,1605.35,20,2,0,1
666,36,3,1802.55,3,4,2,1
667,3,3,1169.86,22,3,2,0
668,21,5,1051.82,12,1,0,0
669,46,3,1385.72,11,1,1,0
670,58,2,971.16,24,1,2,0
671,16,3,933.24,29,3,1,1
672,56,5,529.23,13,2,1,0
673,37,1,1365.48,24,0,0,0
674,42,5,934.73,2,0,1,0
675,5,4,1547.85,15,1,1,0
676,50,2,1000.39,20,0,0,1
677,51,5,1091.84,2,0,2,0
678,14,3,1621.05,18,0,2,0
679,31,4,1432.09,17,1,1,0
680,46,3,1678.3,2,1,1,0
681,24,4,1499.58,23,2,1,0
682,35,6,1446.17,29,0,2,1
683,36,7,1207.6,27,4,2,0
684,10,7,1028.53,27,2,0,0
685,27,5,1218.17,12,3,0,1
686,56,7,1691.23,23,2,1,0
687,27,4,1723.84,27,3,0,0
688,55,7,667.38,27,0,0,0
689,23,2,1174.46,3,2,2,0
690,13,4,1075.13,28,1,1,0
691,16,2,1183.71,14,0,1,0
692,35,3,974.24,22,2,2,0
693,27,6,944.16,29,1,4,0
694,52,3,1518.78,26,1,1,0
695,39,3,1319.88,24,2,1,1
696,47,7,938.61,2,2,2,0
697,17,7,1505.59,22,2,2,0
698,48,11,1198.86,20,1,0,0
699,59,6,1549.5,28,0,0,1
700,41,7,1096.88,1,0,1,0
701,1,3,1209.65,28,1,1,0
702,11,6,1574.79,17,2,2,0
703,12,4,1584.76,23,1,1,0
704,14,6,1093.2,21,2,0,0
705,8,8,1882.05,19,0,2,1
706,31,4,784.73,16,1,0,0
707,7,2,897.88,12,2,2,0
708,46,6,902.75,5,2,1,0
709,54,6,1599.37,15,2,0,0
710,31,1,1460.51,7,1,0,0
711,16,6,1498.29,28,0,2,0
712,42,4,1288.43,25,1,1,1
713,39,4,1064.66,26,2,1,1
714,54,7,1403.97,22,2,0,0
715,44,3,1871.8,9,1,2,0
716,19,6,836.45,13,1,1,0
717,8,14,907.43,13,1,0,0
718,29,3,979.32,14,1,1,0
719,2,8,1331.11,12,0,0,0
720,42,6,1218.27,28,0,2,0
721,3,5,1114.41,28,3,1,0
722,51,3,1086.43,1,2,0,0
723,29,4,1189.05,16,1,2,1
724,15,3,1509.45,11,2,0,0
725,38,3,923.45,18,0,1,1
726,28,5,1665.72,15,2,0,0
727,55,4,1177.6,5,1,0,0
728,37,2,1430.53,26,1,0,0
729,32,2,1272.84,29,2,2,0
730,30,5,1263.36,19,0,1,1
731,51,4,814.71,10,2,0,0
732,47,6,1057.44,12,1,1,0
733,30,7,1349.12,29,1,1,0
734,51,8,1604.18,25,1,1,1
735,34,7,1321.57,19,1,2,1
736,13,4,994.98,4,2,1,0
737,33,6,1175.96,5,0,2,0
738,42,1,1481.56,8,2,2,0
739,17,4,1262.49,8,3,0,0
740,3,5,764.22,17,1,2,1
